State,Residents with Bachelor's Degree or Higher,Year
Alabama,439863,2010
Alaska,83346,2010
Arizona,691889,2010
Arkansas,252888,2010
California,4610875,2010
Colorado,779055,2010
Connecticut,491990,2010
Delaware,99400,2010
Florida,2171876,2010
Georgia,1093642,2010
Hawaii,184364,2010
Idaho,165218,2010
Illinois,1629625,2010
Indiana,617193,2010
Iowa,344952,2010
Kansas,354379,2010
Kentucky,359930,2010
Louisiana,424074,2010
Maine,162350,2010
Maryland,762917,2010
Massachusetts,992307,2010
Michigan,1023760,2010
Minnesota,760013,2010
Mississippi,236965,2010
Missouri,639352,2010
Montana,133356,2010
Nebraska,232326,2010
Nevada,256589,2010
New Hampshire,185129,2010
New Jersey,1321937,2010
New Mexico,189989,2010
New York,2433331,2010
North Carolina,1123118,2010
North Dakota,87414,2010
Ohio,1210527,2010
Oklahoma,376600,2010
Oregon,478133,2010
Pennsylvania,1445223,2010
Rhode Island,128188,2010
South Carolina,484341,2010
South Dakota,98760,2010
Tennessee,621127,2010
Texas,2733721,2010
Utah,315627,2010
Vermont,87638,2010
Virginia,1075786,2010
Washington,897884,2010
West Virginia,140850,2010
Wisconsin,659852,2010
Wyoming,58232,2010
Alabama,443488,2011
Alaska,77153,2011
Arizona,719546,2011
Arkansas,254903,2011
California,4697422,2011
Colorado,789859,2011
Connecticut,500103,2011
Delaware,104599,2011
Florida,2190780,2011
Georgia,1119648,2011
Hawaii,180231,2011
Idaho,174646,2011
Illinois,1645334,2011
Indiana,628173,2011
Iowa,358051,2011
Kansas,365541,2011
Kentucky,359975,2011
Louisiana,415415,2011
Maine,168605,2011
Maryland,800177,2011
Massachusetts,1004133,2011
Michigan,1037602,2011
Minnesota,777339,2011
Mississippi,240726,2011
Missouri,656222,2011
Montana,132946,2011
Nebraska,225822,2011
Nevada,269461,2011
New Hampshire,191748,2011
New Jersey,1322225,2011
New Mexico,195527,2011
New York,2467536,2011
North Carolina,1136478,2011
North Dakota,86615,2011
Ohio,1196897,2011
Oklahoma,396219,2011
Oregon,486317,2011
Pennsylvania,1443083,2011
Rhode Island,134049,2011
South Carolina,486569,2011
South Dakota,97956,2011
Tennessee,655551,2011
Texas,2847501,2011
Utah,322983,2011
Vermont,93188,2011
Virginia,1111225,2011
Washington,925095,2011
West Virginia,150916,2011
Wisconsin,668444,2011
Wyoming,61815,2011
Alabama,472037,2012
Alaska,79559,2012
Arizona,735758,2012
Arkansas,269141,2012
California,4865203,2012
Colorado,818469,2012
Connecticut,503440,2012
Delaware,111921,2012
Florida,2329936,2012
Georgia,1140757,2012
Hawaii,186586,2012
Idaho,175020,2012
Illinois,1684348,2012
Indiana,643210,2012
Iowa,368331,2012
Kansas,362899,2012
Kentucky,378979,2012
Louisiana,433223,2012
Maine,171449,2012
Maryland,795930,2012
Massachusetts,1011713,2012
Michigan,1062110,2012
Minnesota,807626,2012
Mississippi,249319,2012
Missouri,670388,2012
Montana,138862,2012
Nebraska,233054,2012
Nevada,272846,2012
New Hampshire,201804,2012
New Jersey,1359609,2012
New Mexico,202552,2012
New York,2531374,2012
North Carolina,1170056,2012
North Dakota,89629,2012
Ohio,1240747,2012
Oklahoma,393930,2012
Oregon,497130,2012
Pennsylvania,1484305,2012
Rhode Island,132903,2012
South Carolina,504036,2012
South Dakota,98719,2012
Tennessee,680286,2012
Texas,2903294,2012
Utah,333947,2012
Vermont,95120,2012
Virginia,1132326,2012
Washington,944631,2012
West Virginia,147257,2012
Wisconsin,688002,2012
Wyoming,64409,2012
Alabama,476016,2013
Alaska,84038,2013
Arizona,741982,2013
Arkansas,262755,2013
California,4905468,2013
Colorado,837913,2013
Connecticut,508487,2013
Delaware,108075,2013
Florida,2409162,2013
Georgia,1149847,2013
Hawaii,199229,2013
Idaho,185216,2013
Illinois,1698605,2013
Indiana,655276,2013
Iowa,370188,2013
Kansas,374418,2013
Kentucky,392610,2013
Louisiana,453347,2013
Maine,172498,2013
Maryland,814992,2013
Massachusetts,1037415,2013
Michigan,1089029,2013
Minnesota,813237,2013
Mississippi,248488,2013
Missouri,685991,2013
Montana,135518,2013
Nebraska,238160,2013
Nevada,282283,2013
New Hampshire,202495,2013
New Jersey,1374616,2013
New Mexico,204226,2013
New York,2589891,2013
North Carolina,1211484,2013
North Dakota,93470,2013
Ohio,1279678,2013
Oklahoma,402956,2013
Oregon,521031,2013
Pennsylvania,1540228,2013
Rhode Island,142598,2013
South Carolina,529944,2013
South Dakota,104240,2013
Tennessee,681475,2013
Texas,3044921,2013
Utah,348502,2013
Vermont,93427,2013
Virginia,1172309,2013
Washington,984473,2013
West Virginia,146732,2013
Wisconsin,711851,2013
Wyoming,68225,2013
Alabama,478058,2014
Alaska,85634,2014
Arizona,765784,2014
Arkansas,272411,2014
California,5120162,2014
Colorado,862158,2014
Connecticut,527472,2014
Delaware,116931,2014
Florida,2448663,2014
Georgia,1199733,2014
Hawaii,200315,2014
Idaho,175108,2014
Illinois,1737022,2014
Indiana,682893,2014
Iowa,383943,2014
Kansas,381292,2014
Kentucky,386963,2014
Louisiana,463860,2014
Maine,185890,2014
Maryland,841315,2014
Massachusetts,1077993,2014
Michigan,1105362,2014
Minnesota,834094,2014
Mississippi,254250,2014
Missouri,696669,2014
Montana,135401,2014
Nebraska,247729,2014
Nevada,291473,2014
New Hampshire,201723,2014
New Jersey,1415973,2014
New Mexico,206947,2014
New York,2651150,2014
North Carolina,1239857,2014
North Dakota,94873,2014
Ohio,1301747,2014
Oklahoma,405799,2014
Oregon,528064,2014
Pennsylvania,1554120,2014
Rhode Island,131408,2014
South Carolina,543917,2014
South Dakota,111108,2014
Tennessee,717801,2014
Texas,3104847,2014
Utah,353832,2014
Vermont,91472,2014
Virginia,1173872,2014
Washington,1005685,2014
West Virginia,152434,2014
Wisconsin,736544,2014
Wyoming,69557,2014
Alabama,504626,2015
Alaska,87869,2015
Arizona,788933,2015
Arkansas,278975,2015
California,5285754,2015
Colorado,909032,2015
Connecticut,535933,2015
Delaware,117581,2015
Florida,2620339,2015
Georgia,1244449,2015
Hawaii,205033,2015
Idaho,189566,2015
Illinois,1757697,2015
Indiana,697223,2015
Iowa,377035,2015
Kansas,384495,2015
Kentucky,406865,2015
Louisiana,470739,2015
Maine,187513,2015
Maryland,866352,2015
Massachusetts,1086715,2015
Michigan,1145546,2015
Minnesota,847584,2015
Mississippi,253036,2015
Missouri,706922,2015
Montana,144135,2015
Nebraska,244556,2015
Nevada,304948,2015
New Hampshire,205513,2015
New Jersey,1437307,2015
New Mexico,198116,2015
New York,2727078,2015
North Carolina,1277412,2015
North Dakota,105625,2015
Ohio,1329009,2015
Oklahoma,421765,2015
Oregon,566244,2015
Pennsylvania,1611499,2015
Rhode Island,141131,2015
South Carolina,575843,2015
South Dakota,110562,2015
Tennessee,719980,2015
Texas,3266266,2015
Utah,368302,2015
Vermont,97824,2015
Virginia,1209217,2015
Washington,1059707,2015
West Virginia,152256,2015
Wisconsin,742544,2015
Wyoming,67108,2015
Alabama,506680,2016
Alaska,90861,2016
