State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022
Alabama,0.472,0.4735,0.4726,0.4752,0.4758,0.4811,0.4847,0.4768,0.4859,0.4741,0.4823,0.4851
Alaska,0.422,0.4099,0.4232,0.4083,0.4175,0.4322,0.4081,0.4241,0.4322,0.4376,0.4392,0.4278
Arizona,0.455,0.46,0.4608,0.4681,0.4676,0.4702,0.4713,0.4668,0.4613,0.4591,0.4629,0.4665
Arkansas,0.458,0.4684,0.4632,0.4685,0.4714,0.4773,0.4719,0.4725,0.4845,0.475,0.4751,0.4799
California,0.471,0.4812,0.4822,0.4903,0.489,0.4876,0.4899,0.4866,0.4912,0.4866,0.4924,0.4953
Colorado,0.457,0.4588,0.4579,0.4614,0.4584,0.458,0.4586,0.4553,0.4561,0.4548,0.4604,0.4566
Connecticut,0.486,0.4859,0.4915,0.4994,0.5005,0.4916,0.4945,0.4943,0.5014,0.5024,0.4985,0.5008
Delaware,0.44,0.4404,0.4356,0.4513,0.4494,0.4523,0.4522,0.4811,0.4587,0.4509,0.4547,0.4407
Florida,0.474,0.4811,0.4828,0.4843,0.4834,0.4872,0.4852,0.4859,0.4887,0.4808,0.4869,0.4902
Georgia,0.468,0.477,0.4809,0.4837,0.4801,0.4801,0.4813,0.483,0.4822,0.4795,0.4787,0.4736
Hawaii,0.433,0.4301,0.4257,0.44,0.4325,0.4346,0.442,0.4455,0.445,0.4397,0.4552,0.4574
Idaho,0.433,0.432,0.4302,0.4376,0.4541,0.4525,0.4503,0.4478,0.4454,0.4337,0.4577,0.4434
Illinois,0.465,0.4718,0.4716,0.4824,0.4765,0.4817,0.481,0.4818,0.4852,0.48,0.4824,0.4837
Indiana,0.44,0.4461,0.4417,0.4554,0.4455,0.4519,0.4527,0.4497,0.4511,0.4584,0.448,0.4561
Iowa,0.427,0.434,0.4328,0.4429,0.4433,0.4393,0.4451,0.4381,0.4413,0.4422,0.4489,0.4514
Kansas,0.445,0.4442,0.4496,0.4589,0.4597,0.4596,0.455,0.4539,0.4633,0.45,0.4599,0.4632
Kentucky,0.466,0.4709,0.4667,0.4721,0.4704,0.4781,0.4813,0.4784,0.4787,0.4764,0.4757,0.4845
Louisiana,0.475,0.4836,0.4859,0.4914,0.4902,0.4909,0.499,0.4935,0.4936,0.4978,0.4988,0.4915
Maine,0.437,0.4509,0.445,0.4532,0.4593,0.4523,0.4519,0.4526,0.4516,0.449,0.4663,0.4601
Maryland,0.443,0.4466,0.4473,0.4555,0.4491,0.4524,0.4499,0.453,0.4543,0.4558,0.4631,0.4589
Massachusetts,0.475,0.4771,0.4813,0.4837,0.4863,0.4848,0.4786,0.4851,0.4875,0.4803,0.4893,0.4976
Michigan,0.451,0.4612,0.4624,0.4641,0.4598,0.4667,0.4695,0.4671,0.4679,0.4634,0.4659,0.4685
Minnesota,0.44,0.4436,0.4441,0.4462,0.4539,0.4492,0.4496,0.4516,0.4536,0.4434,0.4493,0.456
Mississippi,0.468,0.4735,0.487,0.4791,0.476,0.4759,0.4828,0.479,0.4828,0.4896,0.4808,0.4806
Missouri,0.455,0.4611,0.4608,0.4605,0.4628,0.4634,0.4646,0.4618,0.4657,0.4633,0.4706,0.4687
Montana,0.435,0.4351,0.4502,0.462,0.4544,0.4623,0.4667,0.4539,0.4535,0.4597,0.4693,0.4652
Nebraska,0.432,0.4467,0.4339,0.4445,0.4352,0.4473,0.4477,0.4391,0.4488,0.44,0.456,0.461
Nevada,0.448,0.4526,0.4516,0.4543,0.4427,0.4548,0.4577,0.4606,0.469,0.471,0.4726,0.4685
New Hampshire,0.425,0.4347,0.4298,0.4387,0.441,0.4347,0.4304,0.4386,0.453,0.4406,0.4348,0.4466
New Jersey,0.464,0.4694,0.4718,0.48,0.4757,0.4832,0.4813,0.4794,0.4836,0.4782,0.4853,0.4815
New Mexico,0.464,0.4821,0.4713,0.4759,0.477,0.4795,0.4769,0.4776,0.4891,0.4768,0.4861,0.4796
New York,0.499,0.5033,0.5009,0.5098,0.5111,0.5138,0.5129,0.5157,0.513,0.5149,0.514,0.5208
North Carolina,0.464,0.4716,0.4691,0.4765,0.4748,0.4776,0.478,0.4763,0.4782,0.4743,0.4801,0.4768
North Dakota,0.433,0.4448,0.4597,0.455,0.4664,0.4664,0.4533,0.4546,0.4427,0.4558,0.4531,0.4678
Ohio,0.452,0.4594,0.4615,0.4652,0.4637,0.4637,0.468,0.4642,0.4667,0.4651,0.4687,0.4691
Oklahoma,0.454,0.4613,0.4643,0.4619,0.466,0.4702,0.4645,0.4658,0.4687,0.4739,0.4618,0.4743
Oregon,0.449,0.4586,0.4565,0.46,0.4624,0.4622,0.4583,0.4593,0.4582,0.45,0.4611,0.4679
Pennsylvania,0.461,0.4611,0.4642,0.4696,0.4686,0.4685,0.4689,0.4777,0.4747,0.4745,0.472,0.4778
Rhode Island,0.467,0.4674,0.4647,0.4769,0.4827,0.4732,0.4781,0.4722,0.47,0.4628,0.468,0.464
South Carolina,0.461,0.4648,0.4684,0.4665,0.4687,0.4698,0.4735,0.4795,0.4762,0.4747,0.476,0.4757
South Dakota,0.442,0.4324,0.4335,0.4427,0.4468,0.4436,0.4495,0.4488,0.4445,0.436,0.4522,0.4487
Tennessee,0.468,0.4756,0.4732,0.4783,0.4811,0.4789,0.479,0.4822,0.4778,0.4749,0.4821,0.4694
Texas,0.469,0.4771,0.4767,0.4807,0.4827,0.4823,0.48,0.4781,0.4822,0.4753,0.4784,0.4796
Utah,0.419,0.4249,0.4244,0.4259,0.4283,0.4252,0.4263,0.4225,0.4269,0.4268,0.4449,0.4264
Vermont,0.444,0.4308,0.4392,0.4537,0.4406,0.4452,0.4539,0.4525,0.4473,0.4471,0.4527,0.4452
Virginia,0.459,0.4632,0.4661,0.4672,0.4658,0.4681,0.4705,0.4674,0.4754,0.469,0.4724,0.4755
Washington,0.441,0.4449,0.4498,0.4572,0.4542,0.4561,0.4591,0.4561,0.4574,0.4577,0.4704,0.4742
West Virginia,0.451,0.4721,0.4638,0.4647,0.4546,0.4581,0.4711,0.4686,0.4742,0.4644,0.4858,0.4804
Wisconsin,0.43,0.437,0.4401,0.4446,0.4397,0.441,0.4498,0.4467,0.4483,0.4391,0.4464,0.451
Wyoming,0.423,0.4081,0.4166,0.4183,0.427,0.4374,0.436,0.4326,0.4555,0.4345,0.4638,0.4437
