State,Year,Income
Alabama,2019,64010
Alaska,2019,89290
Arizona,2019,80500
Arkansas,2019,62120
California,2019,88960
Colorado,2019,82580
Connecticut,2019,99420
Delaware,2019,84510
D.C.,2019,106100
Florida,2019,66480
Georgia,2019,64500
Hawaii,2019,100200
Idaho,2019,75160
Illinois,2019,84740
Indiana,2019,75960
Iowa,2019,75240
Kansas,2019,83320
Kentucky,2019,63400
Louisiana,2019,58890
Maine,2019,75800
Maryland,2019,108900
Massachusetts,2019,99900
Michigan,2019,73030
Minnesota,2019,92740
Mississippi,2019,51010
Missouri,2019,69020
Montana,2019,68560
Nebraska,2019,83230
Nevada,2019,80760
New Hampshire,2019,98980
New Jersey,2019,99920
New Mexico,2019,60500
New York,2019,81840
North Carolina,2019,69660
North Dakota,2019,79760
Ohio,2019,73650
Oklahoma,2019,67650
Oregon,2019,84760
Pennsylvania,2019,80390
Rhode Island,2019,79900
South Carolina,2019,70650
South Dakota,2019,73190
Tennessee,2019,64500
Texas,2019,76820
Utah,2019,96270
Vermont,2019,84630
Virginia,2019,92610
Washington,2019,93910
West Virginia,2019,61170
Wisconsin,2019,76720
Wyoming,2019,74190
Alabama,2018,49936
Alaska,2018,68734
Arizona,2018,62283
Arkansas,2018,49781
California,2018,70489
Colorado,2018,73034
Connecticut,2018,72812
Delaware,2018,65012
D.C.,2018,85750
Florida,2018,54644
Georgia,2018,55821
Hawaii,2018,80108
Idaho,2018,58728
Illinois,2018,70145
Indiana,2018,59892
Iowa,2018,68718
Kansas,2018,63938
Kentucky,2018,54555
Louisiana,2018,49973
Maine,2018,58663
Maryland,2018,86223
Massachusetts,2018,86345
Michigan,2018,60449
Minnesota,2018,71817
Mississippi,2018,42781
Missouri,2018,61726
Montana,2018,57679
Nebraska,2018,67575
Nevada,2018,61864
New Hampshire,2018,81346
New Jersey,2018,74176
New Mexico,2018,48283
New York,2018,67274
North Carolina,2018,53369
North Dakota,2018,66505
Ohio,2018,61633
Oklahoma,2018,54434
Oregon,2018,69165
Pennsylvania,2018,64524
Rhode Island,2018,62266
South Carolina,2018,57444
South Dakota,2018,59463
Tennessee,2018,56060
Texas,2018,59785
Utah,2018,77067
Vermont,2018,70066
Virginia,2018,77151
Washington,2018,79726
West Virginia,2018,50573
Wisconsin,2018,62629
Wyoming,2018,62539
Alabama,2017,52105
Alaska,2017,79888
Arizona,2017,61155
Arkansas,2017,50964
California,2017,71745
Colorado,2017,76812
Connecticut,2017,76115
Delaware,2017,66545
D.C.,2017,83263
Florida,2017,54380
Georgia,2017,59398
Hawaii,2017,75393
Idaho,2017,60947
Illinois,2017,67577
Indiana,2017,60200
Iowa,2017,65014
Kansas,2017,58287
Kentucky,2017,50883
Louisiana,2017,44627
Maine,2017,54616
Maryland,2017,84094
Massachusetts,2017,78102
Michigan,2017,57780
Minnesota,2017,71681
Mississippi,2017,44336
Missouri,2017,57908
Montana,2017,58806
Nebraska,2017,61035
Nevada,2017,59456
New Hampshire,2017,77474
New Jersey,2017,72977
New Mexico,2017,46713
New York,2017,63043
North Carolina,2017,50755
North Dakota,2017,61634
Ohio,2017,62167
Oklahoma,2017,53147
Oregon,2017,64021
Pennsylvania,2017,62779
Rhode Island,2017,66995
South Carolina,2017,55866
South Dakota,2017,58301
Tennessee,2017,56654
Texas,2017,61557
Utah,2017,71490
Vermont,2017,65234
Virginia,2017,72537
Washington,2017,73284
West Virginia,2017,48102
Wisconsin,2017,65029
Wyoming,2017,60987
Alabama,2016,52359
Alaska,2016,73992
Arizona,2016,62615
Arkansas,2016,50019
California,2016,71459
Colorado,2016,75980
Connecticut,2016,74554
Delaware,2016,63837
D.C.,2016,85415
Florida,2016,54990
Georgia,2016,58406
Hawaii,2016,75369
Idaho,2016,61676
Illinois,2016,66184
Indiana,2016,60308
Iowa,2016,65028
Kansas,2016,59283
Kentucky,2016,52600
Louisiana,2016,44973
Maine,2016,52923
Maryland,2016,83061
Massachusetts,2016,75012
Michigan,2016,59107
Minnesota,2016,73673
Mississippi,2016,44500
Missouri,2016,58272
Montana,2016,60527
Nebraska,2016,61072
Nevada,2016,57929
New Hampshire,2016,76624
New Jersey,2016,74776
New Mexico,2016,49022
New York,2016,63969
North Carolina,2016,51570
North Dakota,2016,61346
Ohio,2016,61225
Oklahoma,2016,56347
Oregon,2016,66185
Pennsylvania,2016,64713
Rhode Island,2016,68008
South Carolina,2016,56311
South Dakota,2016,58281
Tennessee,2016,56587
Texas,2016,60740
Utah,2016,73058
Vermont,2016,65360
Virginia,2016,73031
Washington,2016,77256
West Virginia,2016,46499
Wisconsin,2016,64998
Wyoming,2016,59247
Alabama,2015,49412
Alaska,2015,79237
Arizona,2015,59750
Arkansas,2015,48037
California,2015,69729
Colorado,2015,73841
Connecticut,2015,79446
Delaware,2015,60740
D.C.,2015,74276
Florida,2015,53551
Georgia,2015,56011
Hawaii,2015,75480
Idaho,2015,59189
Illinois,2015,64235
Indiana,2015,58697
Iowa,2015,61836
Kansas,2015,59446
Kentucky,2015,47474
Louisiana,2015,44154
Maine,2015,53216
Maryland,2015,77183
Massachusetts,2015,75620
Michigan,2015,59740
Minnesota,2015,73477
Mississippi,2015,43006
Missouri,2015,57569
Montana,2015,59724
Nebraska,2015,62129
Nevada,2015,58003
New Hampshire,2015,79799
New Jersey,2015,71645
New Mexico,2015,50699
New York,2015,64288
North Carolina,2015,56259
North Dakota,2015,62977
Ohio,2015,56490
Oklahoma,2015,53307
Oregon,2015,61879
Pennsylvania,2015,63809
Rhode Island,2015,64383
South Carolina,2015,56858
South Dakota,2015,60116
Tennessee,2015,53727
Texas,2015,60844
Utah,2015,70613
Vermont,2015,63660
Virginia,2015,69535
Washington,2015,73573
West Virginia,2015,46412
Wisconsin,2015,62593
Wyoming,2015,60513
Alabama,2014,47175
Alaska,2014,79611
Arizona,2014,55378
Arkansas,2014,45362
California,2014,67448
Colorado,2014,70585
Connecticut,2014,77255
Delaware,2014,61216
D.C.,2014,74268
Florida,2014,51750
Georgia,2014,53809
Hawaii,2014,68379
Idaho,2014,54716
Illinois,2014,64032
Indiana,2014,55097
Iowa,2014,64500
Kansas,2014,58152
Kentucky,2014,44926
Louisiana,2014,48673
Maine,2014,53796
Maryland,2014,78002
Massachusetts,2014,71926
Michigan,2014,57450
Minnesota,2014,72847
Mississippi,2014,42435
Missouri,2014,62742
Montana,2014,54474
Nebraska,2014,64097
Nevada,2014,55123
New Hampshire,2014,80208
New Jersey,2014,72452
New Mexico,2014,47822
New York,2014,61480
North Carolina,2014,53840
North Dakota,2014,60854
Ohio,2014,56494
Oklahoma,2014,49897
Oregon,2014,64478
