Minimum Wage changes by state for 2007 to 2013.,,,,,,,
State or other jurisdiction,2007,2008,2009,2010,2011,2012,2013
Federal (FLSA),5.15,5.85,6.55,7.25,7.25,7.25,7.25
Alabama,...,...,...,...,...,...,...
Alaska,7.15,7.15,7.15,7.75,7.75,7.75,7.75
Arizona,6.75,6.90,7.25,7.25,7.35,7.65,7.80
Arkansas,6.25[c],6.25[c],6.25[c],6.25[c],6.25[c],6.25[c],6.25[c]
California,7.50,8.00,8.00,8.00,8.00,8.00,8.00
Colorado,6.85,7.02,7.28,7.24,7.36,7.64,7.78
Connecticut,7.65,7.65,8.00,8.25,8.25,8.25,8.25
Delaware,6.65,7.15,7.15,7.25,7.25,7.25,7.25
Florida,6.67,6.79,7.21,7.25,7.25,7.67,7.79
Georgia,5.15(d),5.15(d),5.15(d),5.15(d),5.15(d),5.15(d),5.15(d)
Hawaii,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Idaho,5.15,5.85,6.55,7.25,7.25,7.25,7.25
Illinois,7.50[c],7.75[c],8.00[c],8.25[c],8.25[c],8.25[c],8.25[c]
Indiana,5.15(e),5.85(e),6.55(e),7.25(e),7.25(e),7.25(e),7.25(e)
Iowa,5.15,7.25,7.25,7.25,7.25,7.25,7.25
Kansas,2.65,2.65,2.65,7.25,7.25,7.25,7.25
Kentucky,5.15,5.85,6.55,7.25,7.25,7.25,7.25
Louisiana,...,...,...,...,...,...,...
Maine,6.75,7.00,7.25,7.50,7.50,7.50,7.50
Maryland,6.15,6.15,6.55,7.25,7.25,7.25,7.25
Massachusetts,7.50,8.00,8.00,8.00,8.00,8.00,8.00
Michigan,6.95(e),7.15(e),7.40(e),7.40(e),7.40(e),7.40(e),7.40(e)
Minnesota,5.25-6.15(g),5.25-6.15(g),5.25-6.15(g),5.25-6.15(g),5.25-6.15(g),5.25-6.15(g),5.25-6.15(g)
Mississippi,...,...,...,...,...,...,...
Missouri,6.50,6.65,7.05,7.25,7.25,7.25,7.35
Montana,4.00-6.15(g),4.00-6.25(g),4.00-6.90(g),4.00-7.25(g),4.00-7.35(g),4.00-7.65(g),4.00-7.80(g)
Nebraska,5.15[c],5.85[c],6.55[c],7.25[c],7.25[c],7.25[c],7.25[c]
Nevada,6.15,6.33,6.55-6.85,6.55-7.55,7.25-8.25,7.25-8.25,7.25-8.25
New Hampshire,5.15,6.50,7.25,7.25,7.25,7.25,7.25
New Jersey,7.15,7.15,7.15,7.25,7.25,7.25,7.25
New Mexico,5.15,6.50,7.50,7.50,7.50,7.50,7.50
New York,7.15,7.15,7.15,7.25,7.25,7.25,7.25
North Carolina,6.15,6.15,6.55,7.25,7.25,7.25,7.25
North Dakota,5.15,5.85,6.55,7.25,7.25,7.25,7.25
Ohio,6.85,7.00,7.30,7.30,7.40,7.70,7.85
Oklahoma,2.00-5.15(g),2.00-5.85(g),2.00-6.55(g),2.00-7.25(g),2.00-7.25(g),2.00-7.25(g),2.00-7.25(g)
Oregon,7.80,7.95,8.40,8.40,8.50,8.80,8.95
Pennsylvania,6.25,7.15,7.15,7.25,7.25,7.25,7.25
Rhode Island,7.40,7.40,7.40,7.40,7.40,7.40,7.75
South Carolina,...,...,...,...,...,...,...
South Dakota,5.15,5.85,6.55,7.25,7.25,7.25,7.25
Tennessee,...,...,...,...,...,...,...
Texas,5.15,5.85,6.55,7.25,7.25,7.25,7.25
Utah,5.15,5.85,6.55,7.25,7.25,7.25,7.25
Vermont,7.53(e),7.68(e),8.06(e),8.06(e),8.15(e),8.46(e),8.60(e)
Virginia,5.15[c],5.85[c],6.55[c],7.25[c],7.25[c],7.25[c],7.25[c]
Washington,7.93,8.07,8.55,8.55,8.67,9.04,9.19
West Virginia,5.85,6.55,7.25,7.25,7.25,7.25,7.25
Wisconsin,6.50,6.50,6.50,7.25,7.25,7.25,7.25
Wyoming,5.15,5.15,5.15,5.15,5.15,5.15,5.15
District of Columbia,7.00,7.00,7.55,8.25,8.25,8.25,8.25
Guam,5.15,5.85,5.85,7.25,7.25,7.25,7.25
Puerto Rico,3.61-5.15(i),3.61-5.15(i),4.10(i),5.08 – 7.25 (i2),5.08 – 7.25 (i2),5.08 – 7.25 (i2),5.08 – 7.25 (i2)
U.S. Virgin Islands,"4.30-6.15(g,j)",4.30-6.15(j),4.30-6.15(j),4.30-7.25(j),4.30-7.25(j),4.30-7.25(j),4.30-7.25(j)
