Minimum Wage changes by state for 2014 to 2019.,,,,,,
State or other jurisdiction,2014,2015,2016,2017,2018,2019
Federal (FLSA),7.25,7.25,7.25,7.25,7.25,7.25
Alabama,...,...,...,...,...,...
Alaska,7.75,8.75,9.75,9.80,9.84,10.19
Arizona,7.90,8.05,8.05,10.00,10.50,12.00
Arkansas,6.25[c],7.50 [c],8.00 [c],8.50 [c],8.50[c],9.25[c]
California,9.00,9.00,10.00,10.00,11.00,12.00
Colorado,8.00,8.23,8.31,9.30,10.20,12.00
Connecticut,8.70,9.15,9.60,10.10,10.10,11.00
Delaware,7.75,8.25,8.25,8.25,8.25,9.25
Florida,7.93,8.05,8.05,8.10,8.25,8.56
Georgia,5.15(d),5.15(d),5.15(d),5.15(d),5.15(d),5.15(d)
Hawaii,7.25,7.75,8.50,9.25,10.10,10.10
Idaho,7.25,7.25,7.25,7.25,7.25,7.25
Illinois,8.25[c],8.25[c],8.25[c],8.25[c],8.25[c],9.25[c]
Indiana,7.25(e),7.25(e),7.25(e),7.25(e),7.25(e),7.25(e)
Iowa,7.25,7.25,7.25,7.25,7.25,7.25
Kansas,7.25,7.25,7.25,7.25,7.25,7.25
Kentucky,7.25,7.25,7.25,7.25,7.25,7.25
Louisiana,...,...,...,...,...,...
Maine,7.50,7.50,7.50,9.00,10.00,12.00
Maryland,7.25,8.25,8.75,8.75,10.10,11.00
Massachusetts,8.00,9.00,10.00,11.00,11.00,12.75
Michigan,8.15(e),8.15(e),8.50 (e),8.90 (e),9.25 (e),9.65 (e)
Minnesota,6.50-8.00(g),7.25-9.00 (g),7.25-9.50 (g),7.75-9.50 (g),8.04-9.86 (g),8.15-10.00 (g)
Mississippi,...,...,...,...,...,...
Missouri,7.50,7.65,7.65,7.70,7.85,9.45
Montana,7.90(g),8.05 (g),8.05(g),8.15 (g),8.30 (g),8.65 (g)
Nebraska,7.25[c],8.00 [c],9.00 [c],9.00[c],9.00[c],9.00[c]
Nevada,7.25-8.25,7.25-8.25,7.25-8.25,7.25-8.25,7.25-8.25,7.25-8.25
New Hampshire,7.25,7.25,7.25,7.25,7.25,7.25
New Jersey,8.25,8.38,8.38,8.44,8.60,11.00
New Mexico,7.50,7.50,7.50,7.50,7.50,9.00
New York,8.00,8.75,9.00,9.70,10.40,11.80
North Carolina,7.25,7.25,7.25,7.25,7.25,7.25
North Dakota,7.25,7.25,7.25,7.25,7.25,7.25
Ohio,7.25-7.95,7.25- 8.10,7.25-8.10,8.15,8.30,8.70
Oklahoma,2.00-7.25(g),2.00-7.25(g),2.00-7.25(g),2.00-7.25(g),2.00-7.25(g),2.00-7.25(g)
Oregon,9.10,9.25,9.75,9.75,10.75,11.25
Pennsylvania,7.25,7.25,7.25,7.25,7.25,7.25
Rhode Island,8.00,9.00,9.60,9.60,10.10,10.50
South Carolina,...,...,...,...,...,...
South Dakota,7.25,8.50,8.55,8.65,8.85,9.30
Tennessee,...,...,...,...,...,...
Texas,7.25,7.25,7.25,7.25,7.25,7.25
Utah,7.25,7.25,7.25,7.25,7.25,7.25
Vermont,8.73(e),9.15 (e),9.60 (e),10.00 (e),10.50 (e),10.96 (e)
Virginia,7.25[c],7.25[c],7.25[c],7.25[c],7.25[c],7.25[c]
Washington,9.32,9.47,9.47,11.00,11.50,13.50
West Virginia,7.25,8.00,8.75,8.75,8.75,8.75
Wisconsin,7.25,7.25,7.25,7.25,7.25,7.25
Wyoming,5.15,5.15,5.15,5.15,5.15,5.15
District of Columbia,9.50,10.50,11.50,11.50,13.25,14.00
Guam,7.25,8.25,8.25,8.25,8.25,8.25
Puerto Rico,5.08-7.25(i),5.08-7.25(i),5.08-7.25(i),5.08-7.25(i),5.08-7.25(i),5.08-7.25(i)
U.S. Virgin Islands,4.30-7.25(j),4.30-7.25(j),4.30-7.25(j),4.30-7.25(j),4.30-7.25(j),10.50(j)
