Minimum changes by state for 2020 to 2022. ,,,
State or other jurisdiction,2020,2021,2022
Federal (FLSA),7.25,7.25,7.25
Alabama,...,...,...
Alaska,10.19,10.34,10.34
Arizona,12.00,12.15,12.80
Arkansas,10.00[c],11.00,11.00
California,12.00,13.00,14.00
Colorado,12.02,12.32,12.56
Connecticut,12.00,13.00,14.00
Delaware,9.25,9.25,10.50
Florida,8.56,10.00,10.00
Georgia,5.15(d),5.15(d),5.15(d)
Hawaii,10.10,10.10,12.00
Idaho,7.25,7.25,7.25
Illinois,10.00[c],11.00[c],12.00[c]
Indiana,7.25(e),7.25(e),7.25(e)
Iowa,7.25,7.25,7.25
Kansas,7.25,7.25,7.25
Kentucky,7.25,7.25,7.25
Louisiana,...,...,...
Maine,12.00,12.15,12.75
Maryland,11.00,11.75,12.50
Massachusetts,12.75,13.50,14.25
Michigan,9.65(e),9.65(e),9.87 (e)
Minnesota,10.00 (g),10.08 (g),10.33 (g)
Mississippi,...,...,...
Missouri,9.45,10.30,11.15
Montana,8.65 (g),8.75 (g),9.20 (g)
Nebraska,9.00[c],9.00[c],9.00[c]
Nevada,8.00-9.00,8.75-9.75,9.50/10.50
New Hampshire,7.25,7.25,7.25
New Jersey,11.00,12.00,13.00
New Mexico,9.00,10.50,11.50
New York,11.80,12.50,13.20
North Carolina,7.25,7.25,7.25
North Dakota,7.25,7.25,7.25
Ohio,8.70,8.80,9.30
Oklahoma,2.00-7.25(g),2.00-7.25(g),2.00-7.25(g)
Oregon,12.00,12.75,13.50
Pennsylvania,7.25,7.25,7.25
Rhode Island,11.50,11.50,12.25
South Carolina,...,...,...
South Dakota,9.30,9.45,9.95
Tennessee,...,...,...
Texas,7.25,7.25,7.25
Utah,7.25,7.25,7.25
Vermont,10.96 (e),11.75,12.55
Virginia,7.25[c],9.50,11.00
Washington,13.50,13.69,14.49
West Virginia,8.75,8.75,8.75
Wisconsin,7.25,7.25,7.25
Wyoming,5.15,5.15,5.15
District of Columbia,15.00,15.20,$16.10
Guam,8.25,8.75,9.25
Puerto Rico,5.08-7.25(i),5.08-7.25(i),7.25(i)
U.S. Virgin Islands,10.50(j),10.50(j),10.50(j)
