Union affiliation data from the Current Population Survey,,,,,,,,,,
Years:,2010 to 2019,,,,,,,,,
,,,,,,,,,,
Series ID,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
LUU0204899601,10.1,10,9.2,10.7,10.8,10.2,8.1,7.4,9.2,8.5
LUU0204899602,22.9,22.1,22.4,23.1,22.8,19.6,18.5,18.1,18.5,17.1
LUU0204899604,6.4,6,5.1,5,5.3,5.2,4.5,4,5.3,5.7
LUU0204899605,4,4.2,3.2,3.5,4.7,5.1,3.9,5.1,4.8,5.2
LUU0204899606,17.5,17.1,17.2,16.4,16.3,15.9,15.9,15.5,14.7,15.2
LUU0204899608,6.6,8.2,7.8,7.6,9.5,8.4,9.8,9.6,11,9
LUU0204899609,16.7,16.8,14,13.5,14.8,17,17.5,16.9,16,14.5
LUU0204899610,11.4,10.5,10.4,10.3,9.9,9.2,11.4,10.7,10.3,8.7
LUU0204899611,9,8.3,8.6,9.3,8.6,10.4,9.5,9.8,9.9,9.3
LUU0204899612,5.6,6.3,5.8,5.4,5.7,6.8,5.6,5.6,5.6,6.2
LUU0204899613,4,3.9,4.4,5.3,4.3,4,3.9,4,4.5,4.1
LUU0204899615,21.8,21.5,21.6,22.1,21.8,20.4,19.9,21.3,23.1,23.5
LUU0204899616,7.1,5.1,4.8,4.7,5.3,6.8,6.1,4.8,4.7,4.9
LUU0204899617,15.5,16.2,14.6,15.8,15.1,15.2,14.5,15,13.8,13.6
LUU0204899618,10.9,11.3,9.1,9.3,10.7,10,10.4,8.9,8.8,8.3
LUU0204899619,11.4,11.2,10.4,10.1,10.7,9.6,8.9,7,7.7,6.3
LUU0204899620,6.8,7.6,6.8,7.5,7.4,8.7,8.6,7.8,7,8.7
LUU0204899621,8.9,8.9,10,11.2,11,11,11.1,9.6,8.9,8
LUU0204899622,4.3,4.5,6.2,4.3,5.2,5.8,4.2,4.4,5,5.3
LUU0204899623,11.6,11.3,11.5,11.1,11,11.6,11.4,11.4,12.9,11.8
LUU0204899624,11.6,12.4,10.6,11.6,11.9,10.4,11,10.8,11,11.3
LUU0204899625,14.5,14.6,14.4,13.7,13.7,12.9,12.1,12.4,13.7,12
LUU0204899626,16.5,17.5,16.6,16.3,14.5,15.2,14.4,15.6,14.5,13.6
LUU0204899627,15.6,15.1,14.2,14.3,14.2,14.2,14.2,15.2,15,13.7
LUU0204899628,4.5,5,4.3,3.7,3.7,5.4,6.6,5.3,5.1,6.3
LUU0204899629,9.9,10.9,8.9,8.6,8.4,8.8,9.7,8.7,9.4,11.1
LUU0204899630,12.7,13,13.9,13,12.7,12.2,11.9,11.9,11.8,10.5
LUU0204899631,9.3,7.9,6,7.3,7.3,7.7,7.4,8.2,6.6,8.4
LUU0204899632,15,14.6,14.7,14.6,14.4,14.3,12.1,12.7,13.9,14.6
LUU0204899633,10.2,11.1,10.5,9.6,9.9,9.7,9.4,11.3,10.2,10.3
LUU0204899634,17.1,16.1,16.1,16,16.5,15.4,16.1,16.2,14.9,15.7
LUU0204899635,7.3,6.8,6.5,6.2,5.7,6.2,6.3,6.7,6.8,7.1
LUU0204899636,24.2,24.1,23.2,24.4,24.6,24.7,23.6,23.8,22.3,21
LUU0204899637,3.2,2.9,2.9,3,1.9,3,3,3.4,2.7,2.3
LUU0204899638,7.4,6.3,6.1,6.4,5,5.4,5.5,5.1,5.2,6
LUU0204899639,13.7,13.4,12.6,12.6,12.4,12.3,12.4,12.5,12.6,11.9
LUU0204899640,5.5,6.4,7.5,7.5,6,5.6,5.4,5.5,5.7,6.2
LUU0204899641,16.2,17.1,15.7,13.9,15.6,14.8,13.5,14.9,13.9,14.4
LUU0204899642,14.7,14.6,13.5,12.7,12.7,13.3,12.1,12,12.6,12
LUU0204899644,16.4,17.4,17.8,16.9,15.1,14.2,15.5,16.1,17.4,17.4
LUU0204899645,4.6,3.4,3.3,3.7,2.2,2.1,1.6,2.6,2.7,2.2
LUU0204899646,5.6,5.1,5.6,4.8,4.9,5.9,5.2,5.4,5.6,5.6
LUU0204899647,4.7,4.6,4.8,6.1,5,5.4,5.7,5.7,5.5,4.6
LUU0204899648,5.4,5.2,5.7,4.8,4.8,4.5,4,4.7,4.3,4
LUU0204899649,6.5,5.8,5.2,3.9,3.7,3.9,4.7,3.9,4.1,4.4
LUU0204899650,11.8,12,10.7,10.9,11.1,12.6,11.5,11,10.5,11.2
LUU0204899651,4.6,4.6,4.4,5,4.9,5.4,4.3,4.6,4.3,4
LUU0204899653,19.4,19,18.5,18.9,16.8,16.8,17.4,18.8,19.8,18.8
LUU0204899654,14.8,13.8,12.1,12.7,10.6,12.4,11.8,11,10,10.2
LUU0204899655,14.2,13.3,11.2,12.3,11.7,8.3,8.1,8.3,8.1,8.1
LUU0204899656,7.4,7.2,6.7,5.7,6.7,7.1,6.3,6,6.5,7.3
