State or other jurisdiction,Year,min_wage
Federal (FLSA),2010,7.25
Alabama,2010,7.25
Alaska,2010,7.75
Arizona,2010,7.25
Arkansas,2010,6.25
California,2010,8.0
Colorado,2010,7.24
Connecticut,2010,8.25
Delaware,2010,7.25
Florida,2010,7.25
Georgia,2010,5.15
Hawaii,2010,7.25
Idaho,2010,7.25
Illinois,2010,8.25
Indiana,2010,7.25
Iowa,2010,7.25
Kansas,2010,7.25
Kentucky,2010,7.25
Louisiana,2010,7.25
Maine,2010,7.5
Maryland,2010,7.25
Massachusetts,2010,8.0
Michigan,2010,7.4
Minnesota,2010,5.25
Mississippi,2010,7.25
Missouri,2010,7.25
Montana,2010,4.0
Nebraska,2010,7.25
Nevada,2010,6.55
New Hampshire,2010,7.25
New Jersey,2010,7.25
New Mexico,2010,7.5
New York,2010,7.25
North Carolina,2010,7.25
North Dakota,2010,7.25
Ohio,2010,7.3
Oklahoma,2010,2.0
Oregon,2010,8.4
Pennsylvania,2010,7.25
Rhode Island,2010,7.4
South Carolina,2010,7.25
South Dakota,2010,7.25
Tennessee,2010,7.25
Texas,2010,7.25
Utah,2010,7.25
Vermont,2010,8.06
Virginia,2010,7.25
Washington,2010,8.55
West Virginia,2010,7.25
Wisconsin,2010,7.25
Wyoming,2010,5.15
District of Columbia,2010,8.25
Guam,2010,7.25
Puerto Rico,2010,5.08
U.S. Virgin Islands,2010,4.3
Federal (FLSA),2011,7.25
Alabama,2011,7.25
Alaska,2011,7.75
Arizona,2011,7.35
Arkansas,2011,6.25
California,2011,8.0
Colorado,2011,7.36
Connecticut,2011,8.25
Delaware,2011,7.25
Florida,2011,7.25
Georgia,2011,5.15
Hawaii,2011,7.25
Idaho,2011,7.25
Illinois,2011,8.25
Indiana,2011,7.25
Iowa,2011,7.25
Kansas,2011,7.25
Kentucky,2011,7.25
Louisiana,2011,7.25
Maine,2011,7.5
Maryland,2011,7.25
Massachusetts,2011,8.0
Michigan,2011,7.4
Minnesota,2011,5.25
Mississippi,2011,7.25
Missouri,2011,7.25
Montana,2011,4.0
Nebraska,2011,7.25
Nevada,2011,7.25
New Hampshire,2011,7.25
New Jersey,2011,7.25
New Mexico,2011,7.5
New York,2011,7.25
North Carolina,2011,7.25
North Dakota,2011,7.25
Ohio,2011,7.4
Oklahoma,2011,2.0
Oregon,2011,8.5
Pennsylvania,2011,7.25
Rhode Island,2011,7.4
South Carolina,2011,7.25
South Dakota,2011,7.25
Tennessee,2011,7.25
Texas,2011,7.25
Utah,2011,7.25
Vermont,2011,8.15
Virginia,2011,7.25
Washington,2011,8.67
West Virginia,2011,7.25
Wisconsin,2011,7.25
Wyoming,2011,5.15
District of Columbia,2011,8.25
Guam,2011,7.25
Puerto Rico,2011,5.08
U.S. Virgin Islands,2011,4.3
Federal (FLSA),2012,7.25
Alabama,2012,7.25
Alaska,2012,7.75
Arizona,2012,7.65
Arkansas,2012,6.25
California,2012,8.0
Colorado,2012,7.64
Connecticut,2012,8.25
Delaware,2012,7.25
Florida,2012,7.67
Georgia,2012,5.15
Hawaii,2012,7.25
Idaho,2012,7.25
Illinois,2012,8.25
Indiana,2012,7.25
Iowa,2012,7.25
Kansas,2012,7.25
Kentucky,2012,7.25
Louisiana,2012,7.25
Maine,2012,7.5
Maryland,2012,7.25
Massachusetts,2012,8.0
Michigan,2012,7.4
Minnesota,2012,5.25
Mississippi,2012,7.25
Missouri,2012,7.25
Montana,2012,4.0
