State,Year,gini,min_wage,unemployment,GDP (in millions USD),Population,Residents with Bachelor's Degree or Higher,GDP per Capita,% with College Degree,Union Membership %,Adjusted Household Income,Unadjusted Household Income
Alabama,2010,0.472,7.25,10.375,175470.1,4785298.0,439863.0,36668.583649335946,9.191966728090915,10.1,43464.0,47624.0
Alaska,2010,0.422,7.75,8.133333333333333,52947.7,713985.0,83346.0,74158.00051821816,11.673354482237022,22.9,63648.0,69739.0
Arizona,2010,0.455,7.25,10.3,248125.3,6413737.0,691889.0,38686.541091410516,10.787611029264218,6.4,47044.0,51546.0
Arkansas,2010,0.458,6.25,7.858333333333333,100970.8,2921606.0,252888.0,34560.03307769768,8.655787262211263,4.0,39018.0,42752.0
California,2010,0.471,8.0,12.458333333333334,1973511.9,37349363.0,4610875.0,52839.23851659799,12.345257401043225,17.5,57020.0,62477.0
Colorado,2010,0.457,7.24,9.141666666666667,255660.7,5049071.0,779055.0,50635.19605883934,15.42967013139645,6.6,57255.0,62735.0
Connecticut,2010,0.486,8.25,9.558333333333334,238051.6,3577073.0,491990.0,66549.27087034567,13.753982655651702,16.7,64247.0,70396.0
Delaware,2010,0.44,7.25,8.658333333333333,57986.7,899769.0,99400.0,64446.2078600174,11.047279912955437,11.4,48972.0,53659.0
Florida,2010,0.474,7.25,10.825,738242.3,18843326.0,2171876.0,39177.91901493399,11.525969459956272,9.0,46071.0,50480.0
Georgia,2010,0.468,5.15,10.658333333333331,414664.0,9712587.0,1093642.0,42693.46570589278,11.260048429939417,5.6,48121.0,52726.0
Hawaii,2010,0.433,7.25,6.825,68260.2,1363621.0,184364.0,50058.04398729559,13.520178994016666,4.0,56263.0,61648.0
Idaho,2010,0.433,7.25,8.758333333333333,55215.3,1571450.0,165218.0,35136.529956409686,10.513729358236024,21.8,47922.0,52508.0
Illinois,2010,0.465,8.25,10.466666666666669,661714.8,12843166.0,1629625.0,51522.71643923313,12.688654806766495,7.1,51738.0,56690.0
Indiana,2010,0.44,7.25,10.083333333333334,280497.0,6490621.0,617193.0,43215.7416062346,9.508997675260964,15.5,46158.0,50575.0
Iowa,2010,0.427,7.25,6.116666666666667,142016.7,3049883.0,344952.0,46564.638709091465,11.310335511231088,10.9,53442.0,58557.0
Kansas,2010,0.445,7.25,6.933333333333334,127970.4,2859169.0,354379.0,44757.89993526091,12.39447545772915,11.4,50003.0,54788.0
